@RELATION
@ATTRIBUTE percent_diacritics_ogonek Continuous
@ATTRIBUTE avg_words_per_sentence Continuous
@ATTRIBUTE percent_diacritics_grave Continuous
@ATTRIBUTE vowel_cluster_size Continuous
@ATTRIBUTE consonant_cluster_size Continuous
@ATTRIBUTE percent_diacritics_ring_above Continuous
@ATTRIBUTE percent_diacritics_tilde Continuous
@ATTRIBUTE percent_diacritics_breve Continuous
@ATTRIBUTE avg_chars_per_word Continuous
@ATTRIBUTE percent_diacritics_horn Continuous
@ATTRIBUTE percent_diacritics_acute Continuous
@ATTRIBUTE percent_diacritics_hook_above Continuous
@ATTRIBUTE percent_diacritics_circumflex Continuous
@ATTRIBUTE percent_latin Continuous
@ATTRIBUTE percent_diacritics_caron Continuous
@ATTRIBUTE percent_diacritics_dot_below Continuous
@ATTRIBUTE percent_diacritics_macron Continuous
@ATTRIBUTE percent_diacritics_cedilla Continuous
@ATTRIBUTE percent_greek Continuous
@ATTRIBUTE percent_diacritics_diaeresis Continuous
@ATTRIBUTE avg_diacritics_per_word Continuous
@ATTRIBUTE percent_cyrillic Continuous
@ATTRIBUTE percent_arabic Continuous
@ATTRIBUTE language { GREEK, DUTCH, BOSNIAN, UKRAINIAN, VIETNAMESE, NORWEGIAN, CZECH, AFRIKAANS, RUSSIAN, WELSH, GAELIC, ESPERANTO, ARABIC, FRENCH, SWAHILI, TAGALOG, PORTUGUESE, FINNISH, ITALIAN, SPANISH, POLISH, DANISH, GERMAN, KURDISH, SERBIAN, SWEDISH, ENGLISH }
@DATA
0.0, 9.0, 0.0, 1.14285714286, 1.19047619048, 0.0, 0.0, 0.0, 4.22222222222, 0.0, 1.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.333333333333, 0, 0, GREEK
0.0, 6.0, 0.0, 1.0, 1.5, 0.0, 0.0, 0.0, 3.33333333333, 0.0, 1.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.166666666667, 0, 0, GREEK
0.0, 6.0, 0.0, 1.33333333333, 1.57142857143, 0.0, 0.0, 0.0, 2.33333333333, 0.0, 1.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.166666666667, 0, 0, GREEK
0.0, 12.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 3.83333333333, 0.0, 1.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.333333333333, 0, 0, GREEK
0.0, 9.0, 0.0, 1.30769230769, 1.2, 0.0, 0.0, 0.0, 4.22222222222, 0.0, 1.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.333333333333, 0, 0, GREEK
0.0, 6.0, 0.0, 1.4, 1.55555555556, 0.0, 0.0, 0.0, 3.33333333333, 0.0, 1.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.166666666667, 0, 0, GREEK
0.0, 6.0, 0.0, 1.0, 1.71428571429, 0.0, 0.0, 0.0, 2.5, 0.0, 1.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.166666666667, 0, 0, GREEK
0.0, 6.0, 0.0, 1.0, 1.375, 0.0, 0.0, 0.0, 2.33333333333, 0.0, 1.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.166666666667, 0, 0, GREEK
0.0, 9.0, 0.0, 1.2, 1.33333333333, 0.0, 0.0, 0.0, 3.66666666667, 0.0, 1.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.333333333333, 0, 0, GREEK
0.0, 6.0, 0.0, 1.33333333333, 1.71428571429, 0.0, 0.0, 0.0, 2.5, 0.0, 1.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.166666666667, 0, 0, GREEK
