@RELATION
@ATTRIBUTE vowel_cluster_size Continuous
@ATTRIBUTE consonant_cluster_size Continuous
@ATTRIBUTE avg_words_per_sentence Continuous
@ATTRIBUTE avg_chars_per_word Continuous
@ATTRIBUTE percent_latin Continuous
@ATTRIBUTE percent_arabic Continuous
@ATTRIBUTE percent_cyrillic Continuous
@ATTRIBUTE percent_greek Continuous
@ATTRIBUTE language { GREEK, DUTCH, BOSNIAN, UKRAINIAN, VIETNAMESE, NORWEGIAN, CZECH, AFRIKAANS, RUSSIAN, WELSH, GAELIC, ESPERANTO, ARABIC, FRENCH, SWAHILI, TAGALOG, PORTUGUESE, FINNISH, ITALIAN, SPANISH, POLISH, DANISH, GERMAN, KURDISH, SERBIAN, SWEDISH, ENGLISH }
@DATA
1.0251572327, 1.59433962264, 12.4285714286, 5.6091954023, 1.0, 0, 0, 0, DANISH
1.0, 2.42857142857, 6.0, 3.0, 1.0, 0, 0, 0, DANISH
1.04347826087, 1.69696969697, 7.0, 5.57142857143, 1.0, 0, 0, 0, DANISH
1.0625, 1.71428571429, 4.5, 5.66666666667, 1.0, 0, 0, 0, DANISH
1.23333333333, 2.13888888889, 2.14285714286, 7.46666666667, 1.0, 0, 0, 0, DANISH
1.0, 1.46153846154, 3.0, 10.0, 1.0, 0, 0, 0, DANISH
1.0, 2.17021276596, 7.0, 6.33333333333, 1.0, 0, 0, 0, CZECH
1.09090909091, 1.5, 4.0, 7.0, 1.0, 0, 0, 0, CZECH
1.14285714286, 1.41176470588, 5.0, 7.0, 1.0, 0, 0, 0, CZECH
1.19298245614, 1.39726027397, 14.5, 5.86206896552, 1.0, 0, 0, 0, DUTCH
1.22222222222, 1.4, 2.0, 12.5, 1.0, 0, 0, 0, DUTCH
1.0, 3.15384615385, 6.0, 8.0, 0.166666666667, 0.833333333333, 0, 0, KURDISH
1.17647058824, 2.9, 17.0, 6.29411764706, 0, 1.0, 0, 0, KURDISH
1.16666666667, 2.35294117647, 1.75, 7.71428571429, 0.714285714286, 0.428571428571, 0, 0, KURDISH
1.0, 2.8, 3.0, 5.33333333333, 0, 1.0, 0, 0, KURDISH
1.0, 4.0, 3.0, 8.0, 0, 1.0, 0, 0, KURDISH
1.0, 3.5, 1.0, 17.0, 0, 1.0, 0, 0, KURDISH
1.33333333333, 3.25, 2.0, 8.5, 0, 1.0, 0, 0, KURDISH
1.0, 4.5, 11.0, 6.90909090909, 0.181818181818, 0, 0.909090909091, 0, UKRAINIAN
1.0, 3.83333333333, 9.0, 5.33333333333, 0.222222222222, 0, 0.888888888889, 0, UKRAINIAN
1.0, 4.25, 2.0, 10.0, 0.5, 0, 0.5, 0, UKRAINIAN
1.0, 2.71428571429, 2.0, 12.5, 0, 0, 1.0, 0, UKRAINIAN
1.0, 3.75, 1.0, 19.0, 0, 0, 1.0, 0, UKRAINIAN
